### RESET
### LABEL HIPPARCUS
### NAME_COL 0
### RA_COL 1
### DEC_COL 2
### MAG_COL 3
### MAG_BAND V
### SPEC_COL 8
### RA_DEC_TYPE 0


# List of A0V stars in the Hipparcos Catalogue.
#
# Taken from http://www.gemini.edu/sciops/instruments/nir/specstandards/A0V.html
#
# ID	RA		Dec		VMag	Plax	PM(RA)	PM(Dec)	CCDM		Sp. Type	
27307	05:47:07.70	-18:10:08.2	8.09	3.51	-11.24	0.80	05471-1810	A0V
27331	05:47:22.19	-38:13:51.3	7.60	5.17	0.24	-7.37	--------	A0V
27357	05:47:38.37	-37:59:39.3	8.50	3.74	4.25	0.79	--------	A0Vm...
27425	05:48:26.16	-22:29:42.3	9.08	0.94	-3.05	1.48	--------	A0V
27554	05:50:06.43	+45:05:32.8	8.15	5.25	-1.28	-0.27	05501+4506	A0V
27603	05:50:39.01	-65:15:36.4	7.99	3.81	3.47	28.21	--------	A0V
27731	05:52:17.26	+58:57:50.7	6.14	5.98	-1.53	-20.97	--------	A0Vs
27830	05:53:19.64	+27:36:44.1	4.56	7.45	3.82	-9.58	--------	A0V
27833	05:53:21.38	-22:22:17.2	8.39	2.31	0.32	7.76	--------	A0V
27848	05:53:30.81	+44:16:24.4	8.75	1.64	7.46	-10.79	--------	A0V
27966	05:54:56.97	-65:53:00.6	7.92	3.42	-3.63	27.01	--------	A0V
27976	05:54:59.54	-30:18:20.8	7.82	4.94	-5.64	9.91	--------	A0V
28056	05:55:57.32	+00:50:10.1	7.17	5.81	-2.13	1.52	--------	A0V
28112	05:56:31.95	-33:26:04.1	7.30	5.36	3.81	14.14	--------	A0V
28449	06:00:24.94	-00:41:01.7	8.19	2.96	3.82	-5.19	--------	A0V
28520	06:01:13.10	-25:25:03.9	6.04	8.99	-12.13	-20.70	--------	A0V
28539	06:01:29.43	-18:17:20.1	8.60	3.66	-0.40	-23.37	--------	A0V
28580	06:01:57.79	-34:30:44.8	8.68	2.07	-3.07	13.18	--------	A0V
28601	06:02:11.73	-19:41:29.2	7.83	6.68	7.64	-19.29	--------	A0V
28686	06:03:24.76	+11:40:51.8	6.09	6.79	-11.84	-5.03	--------	A0Vs
28735	06:04:07.22	-29:20:20.5	7.80	3.01	-7.50	-1.29	--------	A0V
28781	06:04:36.87	-36:39:11.6	8.31	2.30	-5.60	-2.06	--------	A0V
28849	06:05:23.88	-81:59:26.3	8.29	4.75	4.64	25.52	--------	A0V
28855	06:05:27.18	-35:30:49.1	5.80	12.40	13.88	16.09	--------	A0V
28876	06:05:47.74	-26:19:28.1	8.91	3.29	3.43	-1.36	--------	A0V
28877	06:05:48.34	-16:57:33.7	7.87	5.63	-2.70	1.70	--------	A0V
28909	06:06:09.38	-66:02:22.6	5.72	9.82	13.51	27.98	--------	A0V
